env_step,episode_reward,epoch,rollout_length,step
209999.0,17917.527404895896,209.0,17.0,210
210999.0,17050.046021567865,210.0,17.0,211
211999.0,13705.870090458266,211.0,17.0,212
212999.0,14810.612523080801,212.0,17.0,213
213999.0,21755.675449018403,213.0,17.0,214
214999.0,20541.56699990043,214.0,17.0,215
215999.0,17961.169399025424,215.0,17.0,216
216999.0,14277.533960759354,216.0,17.0,217
217999.0,15374.806451924609,217.0,17.0,218
218999.0,17808.937228390947,218.0,18.0,219
219999.0,17970.43902208898,219.0,18.0,220
220999.0,19077.30480771208,220.0,18.0,221
221999.0,19514.563016683576,221.0,18.0,222
222999.0,20249.60631877461,222.0,18.0,223
223999.0,17787.67914303734,223.0,18.0,224
224999.0,19399.244678640862,224.0,18.0,225
225999.0,21463.396279687437,225.0,18.0,226
226999.0,18389.131129521218,226.0,18.0,227
227999.0,19730.811921959907,227.0,18.0,228
228999.0,18888.81761902989,228.0,18.0,229
229999.0,19078.975745007654,229.0,19.0,230
230999.0,19195.651852880623,230.0,19.0,231
231999.0,19520.900037711875,231.0,19.0,232
232999.0,20763.50676033406,232.0,19.0,233
233999.0,3207.1551416370644,233.0,19.0,234
234999.0,20862.647756296443,234.0,19.0,235
235999.0,22347.94055089554,235.0,19.0,236
236999.0,20782.824259070345,236.0,19.0,237
237999.0,21480.457772941438,237.0,19.0,238
238999.0,19594.87878471021,238.0,19.0,239
239999.0,22559.0301009586,239.0,19.0,240
240999.0,19069.97194420573,240.0,19.0,241
241999.0,11666.45171007809,241.0,20.0,242
242999.0,22089.03793572573,242.0,20.0,243
243999.0,19267.10891662701,243.0,20.0,244
244999.0,21168.220208898216,244.0,20.0,245
245999.0,19490.84911904714,245.0,20.0,246
246999.0,21833.283393290323,246.0,20.0,247
247999.0,20690.416828217938,247.0,20.0,248
248999.0,21040.42471391904,248.0,20.0,249
249999.0,21075.454103375392,249.0,20.0,250
250999.0,20575.975847209804,250.0,20.0,251
251999.0,21935.38047731447,251.0,20.0,252
252999.0,21201.95728323507,252.0,20.0,253
253999.0,20901.45866935835,253.0,21.0,254
254999.0,21332.373349063142,254.0,21.0,255
255999.0,22824.632550766135,255.0,21.0,256
256999.0,22135.88146820211,256.0,21.0,257
257999.0,4843.505851478038,257.0,21.0,258
258999.0,24348.322958871926,258.0,21.0,259
259999.0,19773.483314906884,259.0,21.0,260
260999.0,21635.503996610394,260.0,21.0,261
261999.0,21899.127899852178,261.0,21.0,262
262999.0,20391.554050654715,262.0,21.0,263
263999.0,23124.688087838083,263.0,21.0,264
264999.0,22590.347856077577,264.0,22.0,265
265999.0,22074.80401353203,265.0,22.0,266
266999.0,24558.789291057263,266.0,22.0,267
267999.0,24222.778783784375,267.0,22.0,268
268999.0,22539.5068467238,268.0,22.0,269
269999.0,23694.11836812741,269.0,22.0,270
270999.0,23101.867146595112,270.0,22.0,271
271999.0,24636.567305639088,271.0,22.0,272
272999.0,22233.997233313556,272.0,22.0,273
273999.0,24362.721004243667,273.0,22.0,274
274999.0,24606.14392373267,274.0,22.0,275
275999.0,25813.599437771893,275.0,22.0,276
276999.0,18113.215995889976,276.0,23.0,277
277999.0,25195.039765279365,277.0,23.0,278
278999.0,25359.44386003551,278.0,23.0,279
279999.0,26438.18799434003,279.0,23.0,280
280999.0,24136.938592118597,280.0,23.0,281
